Guideline URL,Ethnic Group Found,Page Numbers
https://www.sign.ac.uk/media/2158/20231121-sign-169-consultation-report-final.pdf,Black,"[28, 37, 38]"
https://www.sign.ac.uk/media/2201/sign-169-public-toolkit-consultation-report.pdf,Black,[14]
https://www.sign.ac.uk/media/2195/sign154-2024-update.pdf,White,[54]
https://www.sign.ac.uk/media/1129/sign154_doi.pdf,Asian,[4]
https://www.sign.ac.uk/media/1127/sign154_consultation_report.pdf,Chinese,[117]
https://www.sign.ac.uk/media/1978/20220323-3-year-scoping-report-sign-154-final.pdf,Asian,[6]
https://www.sign.ac.uk/media/1978/20220323-3-year-scoping-report-sign-154-final.pdf,Black,[6]
https://www.gov.scot/binaries/content/documents/govscot/publications/advice-and-guidance/2026/03/polypharmacy-guidance-appropriate-prescribing-making-medicines-safe-effective-sustainable-2026-2029/documents/polypharmacy-guidance-appropriate-prescribing/polypharmacy-guidance-appropriate-prescribing/govscot%3Adocument/polypharmacy-guidance-appropriate-prescribing.pdf,White,"[287, 431]"
https://www.gov.scot/binaries/content/documents/govscot/publications/advice-and-guidance/2026/03/polypharmacy-guidance-appropriate-prescribing-making-medicines-safe-effective-sustainable-2026-2029/documents/polypharmacy-guidance-appropriate-prescribing/polypharmacy-guidance-appropriate-prescribing/govscot%3Adocument/polypharmacy-guidance-appropriate-prescribing.pdf,Asian,"[366, 438, 439]"
https://www.gov.scot/binaries/content/documents/govscot/publications/advice-and-guidance/2026/03/polypharmacy-guidance-appropriate-prescribing-making-medicines-safe-effective-sustainable-2026-2029/documents/polypharmacy-guidance-appropriate-prescribing/polypharmacy-guidance-appropriate-prescribing/govscot%3Adocument/polypharmacy-guidance-appropriate-prescribing.pdf,Indian,[422]
https://www.gov.scot/binaries/content/documents/govscot/publications/advice-and-guidance/2026/03/polypharmacy-guidance-appropriate-prescribing-making-medicines-safe-effective-sustainable-2026-2029/documents/polypharmacy-guidance-appropriate-prescribing/polypharmacy-guidance-appropriate-prescribing/govscot%3Adocument/polypharmacy-guidance-appropriate-prescribing.pdf,Chinese,[424]
https://www.gov.scot/binaries/content/documents/govscot/publications/advice-and-guidance/2026/03/polypharmacy-guidance-appropriate-prescribing-making-medicines-safe-effective-sustainable-2026-2029/documents/polypharmacy-guidance-appropriate-prescribing/polypharmacy-guidance-appropriate-prescribing/govscot%3Adocument/polypharmacy-guidance-appropriate-prescribing.pdf,Black,"[10, 417, 419, 428, 482]"
https://www.sign.ac.uk/media/1787/sg-maternal-critical-care-provision_v33.pdf,Asian,"[2, 4, 8, 9]"
https://www.sign.ac.uk/media/1787/sg-maternal-critical-care-provision_v33.pdf,Black,"[2, 4, 6, 8, 9]"
https://www.sign.ac.uk/media/1901/20211213-vte-search-strategy-for-website.pdf,Chinese,[1]
https://www.sign.ac.uk/media/1060/sign122.pdf,White,"[86, 88]"
https://www.sign.ac.uk/media/2357/20251103-type-2-diabetes-prevention-gl-publication-v4.pdf,White,"[7, 24]"
https://www.sign.ac.uk/media/2357/20251103-type-2-diabetes-prevention-gl-publication-v4.pdf,Asian,"[6, 7, 14, 19, 27]"
https://www.sign.ac.uk/media/2357/20251103-type-2-diabetes-prevention-gl-publication-v4.pdf,Indian,"[7, 42]"
